ids,capacity,active,draft
5389,48,TRUE,2020
5502,48,TRUE,2020
5439,48,TRUE,2020
5475,48,TRUE,2020
6133,48,TRUE,2020
5522,48,TRUE,2020
6153,48,TRUE,2020
5377,48,TRUE,2020
5503,48,TRUE,2020
5505,48,TRUE,2020
6078,48,TRUE,2020
5404,48,TRUE,2020
6121,48,TRUE,2020
6148,48,TRUE,2020
7089,48,TRUE,2020
5316,48,TRUE,2020
5434,48,TRUE,2020
5370,48,TRUE,2020
6224,48,TRUE,2020
5472,48,TRUE,2020
5322,48,TRUE,2020
5324,48,TRUE,2020
7096,48,TRUE,2020
5392,48,TRUE,2020
6883,48,TRUE,2020
5414,48,TRUE,2020
5479,48,TRUE,2020
7240,48,TRUE,2020
6035,48,TRUE,2021
6056,48,TRUE,2021
6088,48,TRUE,2021
6100,49,TRUE,2020
6250,49,TRUE,2020
6236,49,TRUE,2020
5416,49,TRUE,2020
5449,49,TRUE,2020
6051,49,TRUE,2021
6048,49,TRUE,2021
5483,50,TRUE,2020
5488,50,TRUE,2020
5318,50,TRUE,2020
6536,50,TRUE,2020
5516,50,TRUE,2020
5448,50,TRUE,2020
6104,50,TRUE,2020
6044,50,TRUE,2021
6840,50,TRUE,2022
6039,51,TRUE,2021
6050,51,TRUE,2021
6042,51,TRUE,2021
6529,52,TRUE,2020
5445,52,TRUE,2020
6052,52,TRUE,2021
6741,52,TRUE,2021
5525,53,TRUE,2020
6219,53,TRUE,2021
5499,54,TRUE,2020
5523,55,TRUE,2020
6043,55,TRUE,2021
6047,55,TRUE,2021
6045,56,TRUE,2021
5394,58,TRUE,2020
6164,58,TRUE,2020
6031,60,TRUE,2021
6069,60,TRUE,2021
6774,60,TRUE,2022
6279,62,TRUE,2021
6138,64,TRUE,2020
6192,65,TRUE,2020
5506,70,TRUE,2020
5517,70,TRUE,2020
5344,71,TRUE,2020
5411,71,TRUE,2020
5496,71,TRUE,2020
5469,71,TRUE,2020
6881,72,TRUE,2020
5397,72,TRUE,2020
6097,72,TRUE,2020
5461,72,TRUE,2020
5352,72,TRUE,2020
6175,72,TRUE,2020
6033,76,TRUE,2021
6037,77,TRUE,2021
6038,80,TRUE,2021
6036,84,TRUE,2021
5364,96,TRUE,2020
6762,96,TRUE,2020
6034,96,TRUE,2021
