kgName,kinderGardenId,kgExternal,kgMapUrl,selectedRegionId,selectedRegionRegionName
СДЯ №21 Бон-Бон,255,21,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.676078,23.304931&spn=0.004788,0.011362&iwloc=0004abdc3baa31c8f0772",10,Триадица
СДЯ №35 Вълшебство,256,35,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.671976,23.303879&spn=0.003731,0.006416",10,Триадица
ДГ №40 Проф. Г. Ангушев,27,40,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.66733,23.297035&spn=0.003739,0.007253&t=h&z=17&iwloc=00044da57beeb6ac94202",10,Триадица
ДГ №40 Проф. Г. Ангушев - почасова организация,315,40,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.66733,23.297035&spn=0.003739,0.007253&t=h&z=17&iwloc=00044da57beeb6ac94202",10,Триадица
ДГ №40 Проф. Г. Ангушев - сграда 2,691,40,,10,Триадица
ДГ №43 Талант (с яслени групи),148,43,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.665669,23.295254&spn=0.00187,0.003626&t=h&z=18&iwloc=00044da63a2ec163d2caf",10,Триадица
ДГ №87 Буката,14,87,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.687053,23.313031&spn=0.001869,0.003626&t=h&z=18&iwloc=00044dbd349a347c95513",10,Триадица
ДГ №87 Буката - сграда 2,271,87,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.691331,23.314694&spn=0.004684,0.011319&iwloc=0004de3fd9ba872343d0c",10,Триадица
ДГ №87 Буката - почасова организация,329,87,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.687053,23.313031&spn=0.001869,0.003626&t=h&z=18&iwloc=00044dbd349a347c95513",10,Триадица
ДГ №127 Слънце (с яслени групи),60,127,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.676173,23.300103&spn=0.003739,0.006909&t=h&z=17&iwloc=00044dd027fbed8839ca4",10,Триадица
ДГ №127 Слънце - сграда бл. 93 А,278,127,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.674848,23.298204&spn=0.002359,0.005659&iwloc=0004dedd00ab8325d69a0",10,Триадица
ДГ №127 Слънце - сграда ж.к. Стрелбище,232,127,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.674753,23.300328&spn=0.003636,0.006899&t=h&z=17&iwloc=00049049da753b3968b8a  ",10,Триадица
